id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_b2b,away_b2b
400278178,2,away,away,,3.5,,0,1
400278179,2,away,away,,-9.0,,0,0
400278180,2,home,away,,-6.5,,0,0
400278181,2,away,away,,3.5,,0,1
400278182,2,home,home,,2.0,,0,0
400278183,2,away,away,,-9.0,,0,0
400278184,2,home,home,under,-3.0,193.0,0,1
400278185,2,away,home,over,4.0,185.0,0,0
400278186,2,away,away,under,-4.0,198.0,0,1
400278187,2,home,away,under,-10.5,182.0,0,0
400278188,2,away,away,under,4.0,179.0,0,0
400278189,2,home,away,,-12.0,,0,0
400278190,2,away,away,,5.0,,0,0
400278191,2,home,home,,-10.0,,0,1
400278192,2,away,away,over,-9.5,198.0,0,0
400278193,2,home,home,under,-3.5,198.0,0,0
400278194,2,home,home,,-3.0,,0,1
400278195,2,home,home,,2.5,,0,1
400278196,2,home,home,,-2.0,,0,1
400278197,2,away,away,,-7.0,,0,1
400278198,2,away,away,,-6.0,,0,0
400278199,2,away,home,,5.5,,0,0
400278200,2,away,away,,-1.5,,0,0
400278202,2,home,home,,-0.0,,0,0
400278201,2,away,away,,-9.0,,0,0
400278203,2,home,home,,-3.0,,0,0
400278204,2,away,away,,-9.5,,0,0
400278205,2,home,home,,-10.5,,0,0
400278206,2,away,away,,-2.5,,0,0
400278207,2,away,away,,-3.0,,0,0
400278208,2,home,home,,-4.5,,0,0
400278209,2,away,away,,-4.5,,1,1
400278210,2,away,tie,,8.0,,0,0
400278211,2,home,home,,-5.0,,1,1
400278212,2,home,home,,-10.5,,1,1
400278213,2,away,away,,5.0,,1,1
400278214,2,away,away,,-8.0,,0,1
400278215,2,away,away,,-8.0,,0,0
400278216,2,home,home,,-11.0,,0,1
400278217,2,home,home,,-10.0,,0,1
400278218,2,home,home,,-6.5,,1,0
400278219,2,away,away,,7.5,,1,1
400278220,2,home,home,,-15.0,,1,1
400278221,2,away,away,,-9.0,,0,0
400278222,2,away,away,,5.0,,0,0
400278223,2,away,away,,-5.0,,0,1
400278224,2,home,home,,10.0,,0,0
400278225,2,away,away,,-7.0,,0,0
400278226,2,home,home,,-8.5,,0,0
400278227,2,home,home,,8.0,,0,0
400278228,2,home,home,,-5.5,,0,0
400278229,2,away,away,,5.0,,0,1
400278230,2,home,away,,-8.0,,0,0
400278231,2,away,away,,1.5,,0,0
400278232,2,home,home,,4.0,,0,0
400278233,2,home,home,,-6.0,,0,0
400278234,2,home,home,,-7.0,,0,0
400278235,2,home,home,,-1.5,,0,0
400278236,2,home,home,,-3.0,,0,1
400278237,2,away,away,,3.5,,0,0
400278238,2,home,home,,4.5,,0,1
400278239,2,home,tie,,-8.0,,0,1
400278240,2,away,away,,-6.0,,0,1
400278241,2,home,home,,4.5,,0,1
400278242,2,home,away,,-13.0,,0,1
400278243,2,home,home,,-11.0,,0,1
400278244,2,home,away,,-12.5,,0,0
400278245,2,home,away,,-10.0,,0,0
400278246,2,away,away,,-1.0,,0,0
400278247,2,home,tie,,-5.0,,0,0
400278248,2,away,away,,-2.0,,0,1
400278249,2,home,home,,4.0,,0,0
400278250,2,home,home,,-7.5,,0,0
400278251,2,home,home,,-2.5,,0,0
400278252,2,home,home,,-7.5,,0,0
400278253,2,home,home,,-4.0,,0,0
400278254,2,away,away,,-5.5,,1,0
400278255,2,home,home,,-1.0,,0,0
400278256,2,home,home,,-2.0,,0,0
400278257,2,away,away,under,-5.5,197.0,0,0
400278258,2,home,away,,-12.0,,0,0
400278259,2,away,away,,6.0,,0,0
400278260,2,home,away,,-7.5,,0,1
400278261,2,away,away,,-13.0,,0,0
400278262,2,home,home,under,2.5,190.0,0,1
400278263,2,home,away,,-11.0,,0,1
400278264,2,home,home,,-0.0,,0,1
400278265,2,away,away,,-2.5,,1,1
400278266,2,away,away,,-7.0,,1,1
400278267,2,home,home,,3.0,,0,1
400278268,2,away,away,over,7.0,201.0,0,0
400278269,2,home,home,,-9.0,,1,1
400278270,2,away,away,,-4.0,,1,1
400278271,2,home,home,,-4.0,,1,0
400278272,2,home,home,,-11.5,,0,0
400278273,2,home,home,,-6.0,,0,0
400278274,2,away,home,,4.5,,0,0
400278275,2,home,home,,-5.0,,0,0
400278276,2,home,home,,-3.5,,0,0
400278277,2,home,home,,-10.0,,0,0
400278278,2,home,home,,-5.0,,0,0
400278279,2,away,away,,-1.5,,0,0
400278280,2,home,home,,-5.5,,0,1
400278281,2,home,home,,5.5,,0,0
400278282,2,away,away,,7.5,,0,1
400278283,2,home,home,,-5.5,,0,1
400278284,2,away,away,,-4.0,,0,0
400278285,2,away,away,,6.0,,1,0
400278286,2,home,tie,,-7.0,,0,0
400278287,2,away,away,over,-3.0,207.0,0,1
400278288,2,home,away,,-7.5,,0,0
400278289,2,home,home,,-7.0,,0,0
400278290,2,away,home,,2.5,,1,0
400278291,2,home,home,,3.0,,0,1
400278292,2,home,home,,-3.5,,0,1
400278293,2,away,away,,-7.5,,0,1
400278294,2,home,home,,-8.5,,0,1
400278295,2,home,home,,-4.0,,0,1
400278296,2,home,home,,-4.5,,0,0
400278297,2,home,away,,-5.0,,0,0
400278298,2,away,away,,-8.0,,1,0
400278299,2,away,away,,2.0,,0,0
400278300,2,away,away,under,5.5,195.0,0,0
400278301,2,away,away,under,4.5,193.0,0,0
400278302,2,away,away,,-1.0,,0,0
400278303,2,away,away,,-2.0,,0,1
400278304,2,away,away,under,-3.5,182.0,0,0
400278305,2,home,home,over,-3.5,190.0,0,0
400278306,2,away,away,over,-7.0,198.0,0,0
400278307,2,home,home,over,-4.5,196.0,0,0
400278308,2,home,away,under,-6.0,191.0,0,0
400278309,2,home,home,under,-9.5,191.0,0,0
400278310,2,home,away,under,-12.0,203.0,0,0
400278311,2,away,away,over,-10.0,204.0,0,0
400278312,2,away,home,over,4.5,206.0,0,0
400278313,2,away,away,under,2.0,205.0,1,1
400278314,2,away,away,under,4.5,197.0,1,1
400278315,2,away,away,under,2.0,176.0,1,1
400278316,2,away,away,over,-6.0,188.0,0,1
400278317,2,home,home,under,4.0,204.0,0,1
400278318,2,home,home,over,-9.0,199.0,0,0
400278319,2,away,away,over,-4.0,195.0,0,0
400278320,2,home,away,under,-13.0,197.0,0,1
400278321,2,home,home,over,4.5,202.0,1,0
400278322,2,away,away,over,3.0,202.0,1,1
400278323,2,home,home,over,1.5,185.0,0,0
400278324,2,home,home,over,1.0,209.0,0,0
400278325,2,away,away,,-5.0,,1,0
400278326,2,home,home,,-5.5,,1,1
400278327,2,away,away,,5.0,,1,1
400278328,2,home,away,,-10.0,,1,1
400278329,2,away,away,,-5.5,,0,0
400278330,2,home,home,,3.5,,1,1
400278331,2,away,home,,6.0,,0,0
400278332,2,home,home,,-0.0,,0,0
400278333,2,away,away,,-6.5,,0,0
400278334,2,home,home,,4.5,,0,0
400278335,2,home,home,,-4.5,,0,0
400278336,2,home,home,,-6.5,,0,1
400278337,2,away,away,,-2.0,,0,0
400278338,2,away,away,over,4.5,194.0,0,0
400278339,2,home,away,,-11.5,,0,0
400278340,2,home,away,under,-6.5,183.0,0,1
400278341,2,home,home,,-5.5,,0,0
400278342,2,away,away,,-0.0,,0,0
400278343,2,away,away,,6.0,,0,0
400278344,2,home,away,over,-10.0,193.0,0,0
400278345,2,home,away,,-7.5,,0,0
400278346,2,away,away,,-3.0,,0,0
400278347,2,home,home,,-1.0,,0,0
400278348,2,home,home,,3.0,,0,1
400278349,2,away,away,,-4.5,,0,1
400278350,2,away,away,,1.0,,0,0
400278351,2,home,home,,4.5,,1,0
400278352,2,home,home,,-5.0,,0,0
400278353,2,home,home,,-5.0,,0,1
400278354,2,home,home,,-10.0,,0,0
400278355,2,home,home,,4.0,,0,0
400278356,2,home,home,,-2.0,,0,0
400278357,2,home,home,,-5.0,,0,0
400278358,2,away,away,,-3.0,,0,0
400278359,2,away,away,,2.0,,0,0
400278360,2,away,away,,7.5,,0,0
400278361,2,home,home,,-5.0,,0,0
400278362,2,away,away,,-6.5,,0,1
400278363,2,home,home,,5.0,,0,0
400278364,2,home,home,,1.0,,1,1
400278365,2,home,away,,-3.5,,0,1
400278366,2,home,home,,-3.0,,1,1
400278367,2,home,home,,-3.5,,1,1
400278368,2,home,tie,,-9.0,,1,0
400278369,2,home,home,,-12.5,,0,1
400278370,2,home,home,,-2.5,,1,0
400278371,2,home,home,,2.0,,0,0
400278372,2,home,home,,4.0,,1,1
400278373,2,home,home,,3.0,,1,1
400278374,2,away,away,,-2.5,,0,1
400278375,2,away,away,,-7.5,,1,1
400278376,2,home,away,,-6.0,,0,1
400278377,2,home,home,,-6.0,,0,1
400278378,2,home,home,,-7.0,,1,1
400278379,2,away,away,,2.0,,0,0
400278380,2,away,away,,2.5,,0,0
400278381,2,away,away,,-4.5,,0,0
400278382,2,home,home,,-8.5,,0,0
400278383,2,home,away,,-11.0,,0,0
400278384,2,home,away,,-6.5,,0,0
400278385,2,away,away,,-3.0,,0,0
400278386,2,away,away,,3.5,,0,1
400278387,2,away,away,,-1.0,,0,0
400278388,2,home,away,,-3.0,,0,0
400278389,2,home,away,,-6.5,,0,0
400278390,2,home,home,,-4.5,,0,0
400278391,2,home,home,,-7.5,,0,1
400278392,2,home,home,,-5.5,,0,0
400278393,2,home,home,,-10.0,,0,0
400278394,2,home,away,,-7.5,,0,0
400278395,2,away,away,,2.0,,0,0
400278396,2,away,away,,-1.5,,1,0
400278397,2,away,away,,5.5,,0,0
400278398,2,home,home,,-14.5,,0,0
400278399,2,home,home,,-6.0,,0,0
400278400,2,home,away,,-7.0,,0,1
400278401,2,home,home,,4.0,,0,1
400278402,2,home,home,,-7.5,,0,0
400278403,2,home,tie,,-3.0,,0,0
400278404,2,home,home,,5.0,,0,0
400278405,2,home,home,,2.5,,0,0
400278406,2,home,home,,-9.5,,0,0
400278407,2,home,home,,-3.0,,0,0
400278408,2,home,home,,-6.0,,0,0
400278409,2,home,home,,-7.0,,0,0
400278410,2,home,home,,-6.5,,0,0
400278411,2,home,home,,-7.5,,1,0
400278412,2,home,home,,-9.0,,0,0
400278413,2,home,home,,-5.0,,0,0
400278414,2,away,away,,-3.5,,0,1
400278415,2,away,away,,3.0,,0,0
400278416,2,away,away,,-6.5,,0,1
400278417,2,home,home,,-11.5,,1,1
400278418,2,home,home,,9.0,,1,0
400278419,2,home,home,,-12.5,,0,0
400278420,2,home,home,,-2.0,,1,1
400278421,2,home,away,,-10.0,,1,1
400278422,2,home,away,,-11.5,,0,1
400278423,2,home,home,,-4.0,,1,1
400278424,2,home,home,,-8.5,,0,1
400278425,2,home,home,,1.0,,1,1
400278426,2,away,home,,3.0,,1,1
400278427,2,away,away,,5.0,,1,1
400278428,2,home,home,,-7.5,,0,0
400278429,2,home,home,,4.0,,0,0
400440940,2,home,home,over,-5.5,176.0,0,0
400278430,2,home,home,,-9.5,,0,0
400278431,2,home,away,,-14.5,,0,0
400278432,2,home,home,,-9.0,,0,0
400278433,2,away,away,,-2.5,,0,0
400278434,2,home,away,,-9.5,,0,0
400278435,2,home,home,,-5.0,,1,0
400278436,2,away,away,,-2.5,,0,0
400278437,2,away,away,,-8.5,,0,0
400278438,2,home,home,,-3.5,,0,0
400278439,2,home,home,,-6.0,,0,0
400278440,2,away,away,,-0.0,,0,0
400278441,2,away,away,,-2.5,,0,1
400278442,2,home,home,,5.0,,0,0
400278443,2,away,away,,6.0,,0,0
400278444,2,home,home,,-6.0,,0,0
400278445,2,home,home,,-3.0,,1,1
400278446,2,home,away,,-8.0,,0,1
400278447,2,away,away,,1.0,,0,1
400278448,2,home,home,,-6.0,,0,1
400278449,2,home,home,,-8.5,,0,1
400278450,2,home,home,,-5.5,,0,0
400278451,2,away,away,,4.5,,0,0
400278452,2,home,home,,-4.5,,0,1
400278453,2,home,home,,-2.5,,1,0
400278454,2,home,home,,-6.0,,0,0
400278455,2,home,home,,2.5,,0,0
400278456,2,away,away,,6.0,,0,1
400278457,2,away,away,,-7.5,,0,0
400278458,2,away,away,,-5.0,,0,0
400278459,2,home,home,,4.0,,0,0
400278460,2,home,home,,-5.0,,0,0
400278461,2,home,home,,-5.5,,0,0
400278462,2,home,home,,-4.0,,0,0
400278463,2,home,home,,-7.0,,0,0
400278464,2,home,home,,-13.5,,0,0
400278465,2,away,away,,5.5,,0,0
400278466,2,away,away,,-3.5,,0,1
400278467,2,away,away,,5.0,,1,0
400278468,2,home,home,,-9.5,,0,1
400278469,2,away,away,,-6.5,,0,1
400278470,2,home,home,,-3.5,,0,1
400278471,2,home,home,,1.0,,0,1
400278472,2,away,away,,-3.0,,1,1
400278473,2,home,home,,-7.0,,1,1
400278474,2,home,home,,-2.0,,0,0
400278475,2,home,home,,-3.0,,1,1
400278476,2,home,home,,2.5,,1,1
400278477,2,home,home,,-9.0,,1,1
400278478,2,away,away,,2.0,,0,0
400278479,2,away,away,,8.0,,0,0
400278480,2,home,home,,5.0,,1,0
400278481,2,away,away,,4.0,,0,0
400278482,2,home,home,,6.0,,0,0
400278483,2,away,away,,-5.5,,0,0
400278484,2,away,away,,-5.5,,0,1
400278485,2,away,away,,-4.0,,0,0
400278486,2,away,away,,-2.0,,0,1
400278487,2,away,away,,-5.5,,0,0
400278488,2,away,away,,-4.5,,0,0
400278489,2,home,home,,2.0,,0,0
400278490,2,home,home,,-11.0,,0,0
400278491,2,home,away,,-9.0,,0,0
400278492,2,home,home,,5.0,,0,0
400278493,2,home,away,,-9.0,,0,0
400278494,2,away,away,,-3.0,,0,0
400278495,2,away,away,,4.0,,0,0
400278496,2,away,home,,2.5,,0,0
400278497,2,home,home,,-11.0,,0,0
400278498,2,home,home,,-0.0,,0,0
400278499,2,home,home,,-0.0,,0,1
400278500,2,away,away,,-8.5,,0,1
400278501,2,home,home,,-2.5,,0,0
400278502,2,home,away,,-6.0,,0,0
400278503,2,home,home,,-5.0,,0,1
400278504,2,away,away,,-1.5,,0,1
400278505,2,home,home,,-9.5,,0,1
400278506,2,home,tie,,-10.0,,0,1
400278507,2,away,away,,-4.5,,0,0
400278508,2,away,away,over,3.0,200.0,0,1
400436572,2,home,,,,,0,0
400278509,2,away,away,,-3.5,,0,0
400278510,2,away,away,,-6.0,,0,0
400278511,2,home,away,,-6.0,,0,0
400278512,2,away,away,,3.0,,0,0
400278513,2,away,away,,-1.5,,0,0
400278514,2,home,tie,,-7.0,,0,0
400278515,2,home,home,,-4.0,,0,0
400278516,2,away,home,,8.5,,0,0
400278517,2,away,away,,-5.0,,0,0
400278518,2,away,away,,-1.0,,1,1
400278519,2,away,away,,3.0,,1,1
400278521,2,home,home,,-4.0,,0,0
400278520,2,home,home,,-0.0,,0,1
400278522,2,away,away,,5.0,,0,0
400278523,2,away,away,,-3.5,,1,1
400278524,2,home,home,,3.5,,0,0
400278525,2,home,home,,-3.5,,0,0
400278526,2,home,home,,-9.0,,0,1
400278527,2,home,home,,-7.5,,0,1
400278528,2,home,home,,-9.5,,1,1
400278529,2,away,away,,3.0,,0,1
400278530,2,away,away,,-3.5,,0,0
400278531,2,home,home,,2.5,,0,0
400278532,2,home,home,,3.5,,0,0
400278533,2,away,away,,6.0,,0,1
400278534,2,home,home,,-9.5,,0,0
400278535,2,away,away,,-3.0,,0,0
400278536,2,home,home,,-9.0,,0,0
400278537,2,home,away,,-11.5,,0,0
400278538,2,away,away,,1.0,,0,0
400278539,2,home,home,,-12.0,,0,0
400278540,2,away,away,,-0.0,,0,0
400278541,2,home,away,,-10.0,,0,0
400278542,2,home,home,,2.5,,0,1
400278543,2,home,home,,2.0,,1,1
400278544,2,away,away,,8.5,,1,1
400278545,2,away,away,,4.5,,1,0
400278546,2,away,away,,6.0,,0,0
400278547,2,away,away,,3.5,,1,1
400278548,2,away,away,,-3.5,,0,1
400278549,2,home,home,,-10.0,,0,0
400278550,2,away,away,,-3.0,,1,1
400278552,2,away,home,,2.5,,1,1
400278553,2,home,away,,-13.5,,0,0
400278554,2,home,home,,-6.0,,1,1
400278551,2,away,away,,3.5,,0,0
400278555,2,home,away,,-9.0,,0,1
400278556,2,away,away,,8.5,,0,0
400278557,2,home,home,,-1.0,,0,0
400278558,2,home,home,,-8.5,,0,0
400278559,2,away,away,,-3.5,,0,0
400278560,2,away,away,,2.0,,0,0
400278561,2,home,home,,-6.0,,0,0
400278562,2,away,away,,-5.0,,0,1
400278563,2,away,away,,-11.5,,0,0
400278564,2,home,home,,-8.0,,0,0
400278565,2,home,away,,-14.5,,0,0
400278566,2,away,away,,-9.0,,0,0
400278567,2,away,away,,-2.0,,0,0
400278568,2,away,away,,-5.0,,0,0
400278569,2,home,away,,-4.5,,0,0
400278570,2,home,home,,-15.5,,0,0
400278571,2,away,away,,2.5,,1,1
400278572,2,home,home,,1.5,,1,0
400278574,2,away,away,tie,-6.5,191.0,0,0
400278573,2,home,away,,-8.5,,0,1
400278575,2,home,tie,,-6.0,,0,1
400278576,2,away,away,,-7.0,,0,1
400278577,2,home,home,,-13.0,,0,1
400278578,2,away,away,,-16.0,,0,1
400278579,2,away,away,,-5.0,,0,0
400278580,2,away,away,,-5.0,,0,0
400278581,2,away,away,,-0.0,,0,0
400278582,2,home,home,,-8.0,,0,0
400278583,2,home,home,,-10.0,,0,0
400278584,2,away,away,,2.5,,0,1
400278585,2,away,away,,2.0,,0,0
400278586,2,away,home,,8.5,,0,0
400278587,2,home,home,,-3.0,,0,0
400278589,2,away,away,,7.0,,0,1
400278588,2,home,away,,-8.0,,0,0
400278590,2,away,away,,-3.5,,0,0
400278591,2,home,away,,-6.0,,0,0
400278592,2,home,home,,-14.5,,0,0
400278593,2,home,home,,-9.0,,0,0
400278594,2,home,home,,3.5,,0,0
400278595,2,home,home,,-0.0,,0,0
400278596,2,home,home,,-2.0,,0,1
400278597,2,home,home,,-5.0,,0,1
400278598,2,home,home,,-6.0,,0,1
400278599,2,home,home,,-8.5,,0,0
400278600,2,away,away,,1.5,,1,1
400278601,2,away,away,,-1.5,,1,1
400278602,2,home,away,,-5.5,,1,0
400278603,2,away,away,,8.0,,1,1
400278604,2,home,home,,-6.0,,1,1
400278605,2,home,home,,-5.5,,0,0
400278606,2,home,home,,-11.0,,0,0
400278607,2,home,away,,-6.5,,0,1
400278608,2,home,away,,-6.0,,0,0
400278609,2,away,away,,2.5,,0,0
400278610,2,home,away,,-4.5,,0,0
400278611,2,away,away,,-9.0,,0,0
400278612,2,away,away,,10.0,,0,0
400278613,2,home,home,,-9.0,,0,1
400278614,2,home,home,,-12.0,,0,0
400278615,2,home,home,,-6.0,,0,0
400278616,2,away,away,,1.0,,0,0
400278617,2,home,home,,-8.0,,0,0
400278618,2,away,tie,,7.0,,0,1
400278619,2,away,away,,8.5,,0,0
400278620,2,home,home,,1.0,,0,0
400278621,2,away,away,,-8.5,,0,1
400278622,2,home,home,,-8.0,,0,1
400278623,2,home,away,,-16.0,,0,0
400278624,2,away,away,,3.0,,0,0
400278625,2,home,away,,-7.0,,0,0
400278626,2,away,away,,1.5,,0,1
400278627,2,home,home,,3.5,,0,0
400278628,2,home,home,,-2.0,,0,0
400278629,2,home,home,,-8.0,,0,0
400278630,2,away,away,,-0.0,,0,0
400278631,2,home,home,,-9.0,,0,0
400278632,2,home,away,,-11.0,,0,1
400278633,2,away,home,,7.0,,1,0
400278634,2,home,home,,-3.5,,0,1
400278635,2,away,away,,14.0,,0,1
400278636,2,away,away,,9.0,,0,0
400278638,2,home,home,,-5.5,,0,0
